id,raw_text,cleaned_text,created_at,sentiment_score,sentiment_label,party
1,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-11 14:04:15.269807,0.6249,Positive,AAP
2,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-30 14:04:15.380210,0.3818,Positive,BJP
3,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-04-03 14:04:15.380210,0.4019,Positive,BJP
4,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-07 14:04:15.380210,0.6249,Positive,AAP
5,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-26 14:04:15.380210,0.3182,Positive,Other
6,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-04-01 14:04:15.380210,0.3818,Positive,BJP
7,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-17 14:04:15.380210,0.4019,Positive,BJP
8,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-30 14:04:15.380210,0.6249,Positive,AAP
9,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-27 14:04:15.380210,0.0,Neutral,Other
10,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-04-03 14:04:15.380210,0.0,Neutral,Other
11,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-05 14:04:15.380210,0.6249,Positive,AAP
12,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-18 14:04:15.380210,0.0,Neutral,BJP
13,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-15 14:04:15.380210,0.4019,Positive,BJP
14,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-24 14:04:15.380210,-0.4767,Negative,Other
15,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-23 14:04:15.380210,0.0,Neutral,Other
16,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-13 14:04:15.380210,0.6249,Positive,AAP
17,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-14 14:04:15.380210,0.6249,Positive,AAP
18,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-21 14:04:15.380210,0.0,Neutral,Other
19,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-28 14:04:15.380210,0.6249,Positive,AAP
20,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-23 14:04:15.380210,0.6249,Positive,AAP
21,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-28 14:04:15.380210,0.3182,Positive,Other
22,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-14 14:04:15.380210,-0.4767,Negative,Other
23,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-14 14:04:15.380210,-0.4767,Negative,Other
24,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-05 14:04:15.380210,0.0,Neutral,BJP
25,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-04-04 14:04:15.380210,0.0,Neutral,BJP
